vendor_id,product_id,name,full_name,default_settings
1038,1388,kinzu_v3_mouse,Kinzu v3,"{""polling_rate"": {""level"": 1}, ""resolution_1"": {""level"": 6}, ""resolution_2"": {""level"": 2}, ""raw_cpi"": {""level1"": 1000, ""level2"": 2000}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 48, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""button8_mode"": {""mode"": 0}}"
1038,1390,hots_mouse,Heroes of the Storm,"{""resolution_1"": {""resolution"": 18}, ""resolution_2"": {""resolution"": 36}, ""raw_cpi"": {""level1"": 1620, ""level2"": 3240}, ""polling_rate"": {""level"": 1}, ""led_pulsation"": {""mode"": 3}, ""led_brightness"": {""level"": 4}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0]}, {""function"": 2, ""key_codes"": [0, 0]}, {""function"": 3, ""key_codes"": [0, 0]}, {""function"": 4, ""key_codes"": [0, 0]}, {""function"": 5, ""key_codes"": [0, 0]}, {""function"": 16, ""key_codes"": [75, 0]}, {""function"": 16, ""key_codes"": [78, 0]}, {""function"": 48, ""key_codes"": [0, 0]}], ""no_live_deploy"": 1}}"
1038,1702,rival_100,Rival 100,"{""led_color"": {""red"": 255, ""green"": 24, ""blue"": 0}, ""resolution_1"": {""level"": 6}, ""resolution_2"": {""level"": 2}, ""raw_cpi"": {""level1"": 1000, ""level2"": 2000}, ""led_pulsation"": {""mode"": 1}, ""polling_rate"": {""level"": 1}, ""exact_accel"": {""level"": 0}, ""exact_aim"": {""level"": 0}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}, {""function"": 5, ""key_codes"": [0, 0, 0, 0]}, {""function"": 48, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""button6_mode"": {""mode"": 0}, ""rival_100_color_sequence"": {""repeat"": """", ""data"": []}, ""free_move"": {""level"": 0}}"
1038,1394,csgo_rival_300,CS:GO,"{""logo_color"": {""red"": 255, ""green"": 24, ""blue"": 0}, ""wheel_color"": {""red"": 255, ""green"": 24, ""blue"": 0}, ""resolution_1"": {""resolution"": 16, ""dcpi"": 0}, ""resolution_2"": {""resolution"": 32, ""dcpi"": 0}, ""raw_cpi"": {""level1"": 800, ""level2"": 1600}, ""logo_pulsation"": {""mode"": 1}, ""wheel_pulsation"": {""mode"": 1}, ""polling_rate"": {""level"": 1}, ""exact_accel"": {""level"": 0}, ""exact_aim"": {""level"": 0}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}, {""function"": 5, ""key_codes"": [0, 0, 0, 0]}, {""function"": 48, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""rival_logo_color_sequence"": {""repeat"": """", ""data"": []}, ""rival_wheel_color_sequence"": {""repeat"": """", ""data"": []}, ""free_move"": {""level"": 0}}"
1038,1710,rival_300,Rival 300,"{""logo_color"": {""red"": 255, ""green"": 24, ""blue"": 0}, ""wheel_color"": {""red"": 255, ""green"": 24, ""blue"": 0}, ""resolution_1"": {""resolution"": 16, ""dcpi"": 0}, ""resolution_2"": {""resolution"": 32, ""dcpi"": 0}, ""raw_cpi"": {""level1"": 800, ""level2"": 1600}, ""logo_pulsation"": {""mode"": 1}, ""wheel_pulsation"": {""mode"": 1}, ""polling_rate"": {""level"": 1}, ""exact_accel"": {""level"": 0}, ""exact_aim"": {""level"": 0}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}, {""function"": 5, ""key_codes"": [0, 0, 0, 0]}, {""function"": 48, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""rival_logo_color_sequence"": {""repeat"": """", ""data"": []}, ""rival_wheel_color_sequence"": {""repeat"": """", ""data"": []}, ""free_move"": {""level"": 0}}"
1038,1714,predator_mouse,Predator Gaming Mouse,"{""logo_color"": {""red"": 255, ""green"": 0, ""blue"": 0}, ""wheel_color"": {""red"": 255, ""green"": 0, ""blue"": 0}, ""resolution_1"": {""resolution"": 16, ""dcpi"": 0}, ""resolution_2"": {""resolution"": 32, ""dcpi"": 0}, ""raw_cpi"": {""level1"": 800, ""level2"": 1600}, ""logo_pulsation"": {""mode"": 3}, ""wheel_pulsation"": {""mode"": 3}, ""polling_rate"": {""level"": 1}, ""exact_accel"": {""level"": 0}, ""exact_aim"": {""level"": 0}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}, {""function"": 5, ""key_codes"": [0, 0, 0, 0]}, {""function"": 48, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""rival_logo_color_sequence"": {""repeat"": """", ""data"": []}, ""rival_wheel_color_sequence"": {""repeat"": """", ""data"": []}, ""free_move"": {""level"": 0}}"
1038,170c,dota2_rival_100_lenovo,Dota 2,"{""led_color"": {""red"": 255, ""green"": 0, ""blue"": 0}, ""resolution_1"": {""level"": 6}, ""resolution_2"": {""level"": 2}, ""raw_cpi"": {""level1"": 1000, ""level2"": 2000}, ""led_pulsation"": {""mode"": 1}, ""polling_rate"": {""level"": 1}, ""exact_accel"": {""level"": 0}, ""exact_aim"": {""level"": 0}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}, {""function"": 5, ""key_codes"": [0, 0, 0, 0]}, {""function"": 48, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""button6_mode"": {""mode"": 0}, ""rival_100_color_sequence"": {""repeat"": """", ""data"": []}, ""free_move"": {""level"": 0}}"
1038,1712,fallout_4_rival_300,Fallout® 4,"{""logo_color"": {""red"": 255, ""green"": 160, ""blue"": 0}, ""wheel_color"": {""red"": 255, ""green"": 160, ""blue"": 0}, ""resolution_1"": {""resolution"": 16, ""dcpi"": 0}, ""resolution_2"": {""resolution"": 32, ""dcpi"": 0}, ""raw_cpi"": {""level1"": 800, ""level2"": 1600}, ""logo_pulsation"": {""mode"": 1}, ""wheel_pulsation"": {""mode"": 1}, ""polling_rate"": {""level"": 1}, ""exact_accel"": {""level"": 0}, ""exact_aim"": {""level"": 0}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}, {""function"": 5, ""key_codes"": [0, 0, 0, 0]}, {""function"": 48, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""rival_logo_color_sequence"": {""repeat"": """", ""data"": []}, ""rival_wheel_color_sequence"": {""repeat"": """", ""data"": []}, ""free_move"": {""level"": 0}}"
1038,1716,csgo_rival_300_stm32,CS:GO,"{""logo_color"": {""red"": 255, ""green"": 24, ""blue"": 0}, ""wheel_color"": {""red"": 255, ""green"": 24, ""blue"": 0}, ""resolution_1"": {""resolution"": 16, ""dcpi"": 0}, ""resolution_2"": {""resolution"": 32, ""dcpi"": 0}, ""raw_cpi"": {""level1"": 800, ""level2"": 1600}, ""logo_pulsation"": {""mode"": 1}, ""wheel_pulsation"": {""mode"": 1}, ""polling_rate"": {""level"": 1}, ""exact_accel"": {""level"": 0}, ""exact_aim"": {""level"": 0}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}, {""function"": 5, ""key_codes"": [0, 0, 0, 0]}, {""function"": 48, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""rival_logo_color_sequence"": {""repeat"": """", ""data"": []}, ""rival_wheel_color_sequence"": {""repeat"": """", ""data"": []}, ""free_move"": {""level"": 0}}"
1038,1708,rival_100_pc_bang,Rival 100,"{""resolution_1"": {""level"": 6}, ""resolution_2"": {""level"": 2}, ""raw_cpi"": {""level1"": 1000, ""level2"": 2000}, ""polling_rate"": {""level"": 1}, ""exact_accel"": {""level"": 0}, ""exact_aim"": {""level"": 0}, ""button_mappings"": {""buttons"": [{""function"": 1, ""key_codes"": [0, 0, 0, 0]}, {""function"": 2, ""key_codes"": [0, 0, 0, 0]}, {""function"": 3, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}, {""function"": 5, ""key_codes"": [0, 0, 0, 0]}, {""function"": 4, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""wheel_mappings"": {""wheels"": [{""function"": 49, ""key_codes"": [0, 0, 0, 0]}, {""function"": 50, ""key_codes"": [0, 0, 0, 0]}], ""no_live_deploy"": 1}, ""button6_mode"": {""mode"": 1}, ""free_move"": {""level"": 0}}"
