vendor_id,product_id,name,full_name,default_settings
1038,1361,"",Sensei Mouse,""
1038,1362,"",Diablo III Mouse,""
1038,1364,"",Kana Mouse,""
1038,1366,"",KinzuV2 Mouse,""
1038,1369,"",Sensei Raw,""
1038,136b,"",MLG Sensei Mouse,""
1038,1311,"",World of Warcraft Gaming Mouse: Gold Edition,""
1038,136d,"",Guild Wars 2 Mouse,""
1038,1374,"",Counter-Strike: GO Mouse,""
1038,1376,"",Dota 2 Mouse,""
1038,1330,"",World of Warcraft Wireless MMO Mouse,""
1038,136f,"",Call of Duty®: Black Ops II Mouse,""
1038,1380,"",World of Tanks Mouse,""
1038,1378,"",KinzuV2 Mouse,""
1038,137a,"",Kana V2 Mouse,""
